1 0  -1.2520195 -1.2520195 3.4817032 3.4817032 7.4110633 7.4110633 16.978636 16.978636
2 0.05  -1.6344671 -0.85649321 3.4921902 3.4921902 7.2924856 7.5674533 16.860557 16.860557
3 0.1  -2.0026077 -0.44919703 3.5236526 3.5236526 7.2109884 7.7622965 16.553316 16.553316
4 0.15  -2.3553203 -0.031490856 3.5760885 3.5760885 7.1656013 7.9962162 16.138272 16.138272
5 0.2  -2.6916076 0.39524246 3.6494752 3.6494752 7.155004 8.2696908 15.671076 15.671076
6 0.25  -3.0105991 0.82962023 3.7437428 3.7437428 7.1775097 8.5826333 15.180921 15.180921
7 0.3  -3.3115429 1.2702761 3.8587406 3.8587406 7.2311266 8.9336376 14.68249 14.68249
8 0.35  -3.5937899 1.7158656 3.9941998 3.9941998 7.3136413 9.3189221 14.183388 14.183388
9 0.4  -3.8567778 2.1650553 4.1496933 4.1496933 7.422673 9.7310944 13.68778 13.68778
10 0.45  -4.1000167 2.6164921 4.3245906 4.3245906 7.55567 10.157822 13.198172 13.198172
11 0.5  -4.3230782 3.0687462 4.5180026 4.5180026 7.7098439 10.580073 12.716351 12.716351
12 0.55  -4.5255892 3.5202138 4.728704 4.728704 7.8820453 10.968805 12.243938 12.243938
13 0.6  -4.7072291 3.9689463 4.9550116 4.9550116 8.0685809 11.27962 11.782786 11.782786
14 0.65  -4.8677323 4.4123529 5.1945844 5.1945844 8.2649726 11.335335 11.335335 11.453412
15 0.7  -5.006893 4.8466903 5.444079 5.444079 8.4656537 10.905042 10.905042 11.446685
16 0.75  -5.1245742 5.2662083 5.698546 5.698546 8.6636209 10.497018 10.497018 11.277829
17 0.8  -5.2207147 5.6617386 5.9503723 5.9503723 8.8501122 10.119083 10.119083 11.013231
18 0.85  -5.2953306 6.0184926 6.187504 6.187504 9.0145026 9.7835295 9.7835295 10.720442
19 0.9  -5.3485018 6.3132899 6.3909659 6.3909659 9.1447844 9.5095637 9.5095637 10.4551
20 0.95  -5.3803393 6.5136625 6.5335109 6.5335109 9.2290897 9.324629 9.324629 10.266966
21 1  -5.3909391 6.585654 6.585654 6.585654 9.2583408 9.2583408 9.2583408 10.198242
22 1.0433013  -5.3829923 6.4860312 6.5695651 6.5695651 9.2814029 9.2814029 9.2865049 10.252548
23 1.0866025  -5.3591573 6.2182257 6.5233208 6.5233208 9.3308253 9.3480153 9.3480153 10.426131
24 1.1299038  -5.3194489 5.8416834 6.4521756 6.4521756 9.3372332 9.4512509 9.4512509 10.717923
25 1.1732051  -5.2638884 5.4038258 6.3628335 6.3628335 9.298254 9.5815721 9.5815721 11.094172
26 1.2165064  -5.1925096 4.9338558 6.2618554 6.2618554 9.2280539 9.7283975 9.7283975 11.518614
27 1.2598076  -5.1053777 4.4490025 6.1548116 6.1548116 9.1397693 9.8810177 9.8810177 11.968119
28 1.3031089  -5.0026189 3.9598132 6.0460675 6.0460675 9.0423661 10.029091 10.029091 12.430019
29 1.3464102  -4.8844579 3.4731424 5.9388975 5.9388975 8.9418399 10.16316 10.16316 12.897613
30 1.3897114  -4.751261 2.9937477 5.8357039 5.8357039 8.842291 10.27545 10.27545 13.367291
31 1.4330127  -4.6035889 2.5251835 5.7382324 5.7382324 8.7465815 10.360867 10.360867 13.83682
32 1.476314  -4.4422706 2.0703569 5.6477505 5.6477505 8.6567381 10.417754 10.417754 14.304206
33 1.5196152  -4.2685151 1.631933 5.5651816 5.5651816 8.5742085 10.447925 10.447925 14.766776
34 1.5629165  -4.0840914 1.2127016 5.4912039 5.4912039 8.5000292 10.455882 10.455882 15.220183
35 1.6062178  -3.8916286 0.81599797 5.4263195 5.4263195 8.4349357 10.447571 10.447571 15.657085
36 1.6495191  -3.6951204 0.44628969 5.3709025 5.3709025 8.3794343 10.429209 10.429209 16.065266
37 1.6928203  -3.5007738 0.11007844 5.325233 5.325233 8.3338491 10.406462 10.406462 16.425619
38 1.7361216  -3.3183426 -0.18272446 5.289518 5.289518 8.2983574 10.384034 10.384034 16.713152
39 1.7794229  -3.16279 -0.41709875 5.2639071 5.2639071 8.2730246 10.365527 10.365527 16.907976
40 1.8227241  -3.0547313 -0.57243322 5.2485016 5.2485016 8.2578457 10.353445 10.353445 17.011814
41 1.8660254  -3.0154705 -0.62744854 5.24336 5.24336 8.2527911 10.349257 10.349257 17.043026
42 1.9013807  -3.0099128 -0.62383498 5.1917981 5.2325294 8.3003148 10.341235 10.372173 17.023364
43 1.9367361  -2.993261 -0.61307027 5.04784 5.2000338 8.43046 10.318262 10.442699 16.959557
44 1.9720914  -2.9655762 -0.59539005 4.8357646 5.1458948 8.6142994 10.283427 10.565713 16.841092
45 2.0074468  -2.9269554 -0.57121297 4.5803802 5.0702544 8.8210847 10.241338 10.747527 16.661288
